NEGERI,PKD,KLINIK KESIHTAN,BILANGAN STOK,SLOT DIBUKA,SLOT DIAMBIL,KLINIK KESIHATAN BELUM BUKA SLOT,BILANGAN STOK
,,Klinik Kesihatan Jalan Baru,50,872,57,Klinik Kesihatan Sungai Bayor,62
,,Klinik Kesihatan Jelapang,330,56,58,Klinik Kesihatan Sungai Kerang,50
,,Klinik Kesihatan Kampar,150,80,68,Klinik Kesihatan Sungai Tiang,8
,,Klinik Kesihatan Kampung Gajah,70,35,4,Klinik Kesihatan Teluk Medan,50
,,Klinik Kesihatan Kamunting,240,672,154,Klinik Kesihatan Temoh,30
,,Klinik Kesihatan Kota Bharu,20,46,44,Klinik Kesihatan Trolak,70
,,Klinik Kesihatan Kuala Gula,25,21,16,,
,,Klinik Kesihatan Kuala Kangsar,700,752,64,,
,,Klinik Kesihatan Kuala Sepetang,55,1358,18,,
,,Klinik Kesihatan Lambor Kiri,20,116,,,
,,Klinik Kesihatan Lekir,90,16,22,,
,,Klinik Kesihatan Lenggong,120,1050,17,,
,,Klinik Kesihatan Malim Nawar,50,34,8,,
,,Klinik Kesihatan Menglembu,50,133,133,,
,,Klinik Kesihatan Padang Rengas,400,1048,33,,
,,Klinik Kesihatan Pantai Remis,50,106,54,,
,,Klinik Kesihatan Parit,50,190,31,,
,,Klinik Kesihatan Pasir Pinji,500,104,102,,
,,Klinik Kesihatan Pengkalan Baru,15,133,7,,
,,Klinik Kesihatan Selekoh,16,99,,,
,,Klinik Kesihatan Seri Iskandar,140,84,40,,
,,Klinik Kesihatan Simpang,340,2238,131,,
,,Klinik Kesihatan Sitiawan,270,140,137,,
,,Klinik Kesihatan Sungai Sumun,30,30,1,,
,,Klinik Kesihatan Sungkai,155,192,10,,
,,Klinik Kesihatan Taiping,350,1010,250,,
,,Klinik Kesihatan Tanjung Malim,250,913,59,,
,,Klinik Kesihatan Tanjung Piandang,50,45,40,,
,,Klinik Kesihatan Tanjung Rambutan,300,168,157,,
,,Klinik Kesihatan Tanjung Tualang,50,28,42,,
,,Klinik Kesihatan Tapah,250,76,72,,
,,Klinik Kesihatan Tapah Road,75,38,30,,
,,Klinik Kesihatan Telok Intan,720,108,107,,
,,Klinik Kesihatan Trong,150,668,4,,
,,Klinik Kesihatan Tronoh,480,20,18,,
,,Klinik Kesihatan Ulu Dedap,120,242,6,,
,,56,9455,20229,2748,26,2519
Pulau Pinang,,Klinik Kesihatan Air Itam,160,74,76,Klinik Kesihatan Kepala Batas,160
,,Klinik Kesihatan Ayer Puteh,100,87,89,,
,,Klinik Kesihatan Bandar Perda,170,68,71,,
,,Klinik Kesihatan Bandar Tasik Mutiara,180,72,69,,
,,Klinik Kesihatan Bayan Baru,190,86,132,,
,,Klinik Kesihatan Bayan Lepas,190,81,81,,
,,Klinik Kesihatan Berapit,170,101,94,,
,,Klinik Kesihatan Bukit Jambul,160,82,82,,
,,Klinik Kesihatan Bukit Minyak,170,45,46,,
,,Klinik Kesihatan Bukit Panchor,180,120,122,,
,,Klinik Kesihatan Butterworth,140,180,88,,
,,Klinik Kesihatan Jalan Angsana,320,72,72,,
,,Klinik Kesihatan Jalan Macalister,160,112,79,,
,,Klinik Kesihatan Jalan Perak,320,112,115,,
,,Klinik Kesihatan Machang Bubuk,80,22,22,,
,,Klinik Kesihatan Mak Mandin,100,140,106,,
,,Klinik Kesihatan Penaga,80,118,90,,
,,Klinik Kesihatan Perai,80,45,50,,
,,Klinik Kesihatan Seberang Jaya,170,44,100,,
,,Klinik Kesihatan Sungai Dua (Spu),160,736,109,,
,,Klinik Kesihatan Sungai Dua (Tl),320,2234,289,,
,,Klinik Kesihatan Tanjung Bungah,160,35,33,,
,,Klinik Kesihatan Tasek Gelugor,80,47,40,,
,,23,3840,4713,2055,1,160
Selangor,,Klinik Kesihatan Ampang,346,59,60,Klinik Kesihatan Bagan Terap,0
,,Klinik Kesihatan Anika Klang,160,130,119,Klinik Kesihatan Batu 8,100
,,Klinik Kesihatan Au2,350,40,39,Klinik Kesihatan Bukit Cherakah,60
,,Klinik Kesihatan Bandar Baru Bangi,346,152,197,Klinik Kesihatan Hulu Bernam,40
,,Klinik Kesihatan Bandar Botanik,600,47,47,Klinik Kesihatan Jeram,120
,,Klinik Kesihatan Bandar Seri Putra,231,16,16,Klinik Kesihatan Kuala Kubu Bharu,80
,,Klinik Kesihatan Bandar Tun Hussien Onn,346,241,243,Klinik Kesihatan Merbau Berdarah,0
,,Klinik Kesihatan Batu 14,0,24,21,Klinik Kesihatan Meru,200
,,Klinik Kesihatan Batu 9,346,8,8,Klinik Kesihatan Parit Baru,0
,,Klinik Kesihatan Batu Arang,250,160,109,Klinik Kesihatan Rasa,96
,,Klinik Kesihatan Beranang,346,820,118,Klinik Kesihatan Sekinchan,0
,,Klinik Kesihatan Bestari Jaya,80,24,11,Klinik Kesihatan Simpang lima,0
,,Klinik Kesihatan Bukit Changgang,0,6,0,Klinik Kesihatan Sungai Besar,0
,,Klinik Kesihatan Bukit Kuda,200,14,15,Klinik Kesihatan Sungai Tawar,0
,,Klinik Kesihatan Bukit Naga,120,35,41,Klinik Kesihatan Ulu Yam Bharu,164
,,Klinik Kesihatan Dengkil,0,288,26,,
,,Klinik Kesihatan Desa Putra,0,16,16,,
,,Klinik Kesihatan Gombak Setia,500,42,41,,
,,Klinik Kesihatan Hulu Kelang,100,18,14,,
,,Klinik Kesihatan Ibu Dan Anak Kuala Kubu Baru,0,9,4,,
,,Klinik Kesihatan Ijok,80,57,61,,
,,Klinik Kesihatan Jenjarom,100,95,94,,
,,Klinik Kesihatan Kajang,346,130,139,,
,,Klinik Kesihatan Kalumpang,56,20,20,,
,,Klinik Kesihatan Kampung Bandar,0,960,157,,
,,Klinik Kesihatan Kapar,320,392,305,,
,,Klinik Kesihatan Kelana Jaya,480,375,379,,
,,Klinik Kesihatan Kota Damansara,300,66,148,,
,,Klinik Kesihatan Kuala Selangor,100,574,59,,
,,Klinik Kesihatan Kuang,300,65,66,,
,,Klinik Kesihatan Pandamaran,400,595,23,,
,,Klinik Kesihatan Puchong,600,180,377,,
,,Klinik Kesihatan Pulau Indah,100,4,0,,
,,Klinik Kesihatan Pulau Ketam,60,2430,18,,
,,Klinik Kesihatan Rantau Panjang,120,12,0,,
,,Klinik Kesihatan Rawang,500,216,204,,
,,Klinik Kesihatan Sabak Bernam,0,336,56,,
,,Klinik Kesihatan Salak,600,150,134,,
,,Klinik Kesihatan Seksyen 19,520,95,97,,
,,Klinik Kesihatan Seksyen 7 Shah Alam,560,46,46,,
,,Klinik Kesihatan Selayang Baru,550,45,83,,
,,Klinik Kesihatan Serendah,232,420,199,,
,,Klinik Kesihatan Seri Kembangan,400,677,123,,
,,Klinik Kesihatan Sg. Chua,231,22,24,,
,,Klinik Kesihatan Soeharto,46,245,0,,
,,Klinik Kesihatan Sungai Bertik,120,88,40,,
,,Klinik Kesihatan Sungai Buaya,24,20,15,,
,,Klinik Kesihatan Sungai Buloh,450,15,15,,
,,Klinik Kesihatan Sungai Pelek,0,91,83,,
,,Klinik Kesihatan Sungai Selisek,56,32,2,,
,,Klinik Kesihatan Taman Ehsan,400,35,35,,
,,Klinik Kesihatan Taman Medan,340,348,346,,
,,Klinik Kesihatan Taman Nirwana,231,114,114,,
,,Klinik Kesihatan Tanjung Karang,160,190,79,,
,,Klinik Kesihatan Tanjung Sepat,0,60,55,,
,,Klinik Kesihatan Telok Datok,0,42,36,,
,,Klinik Kesihatan Telok Panglima Garang,100,24,23,,
,,57,13203,11415,4800,15,860
WPKL&P,,Klinik Kesihatan Batu Muda,200,210,209,Klinik Kesihatan Bandar Tun Razak,190
,,Klinik Kesihatan Cheras,270,32,34,,
,,Klinik Kesihatan Cheras Baru,70,16,16,,
,,Klinik Kesihatan Jinjang,400,60,59,,
,,Klinik Kesihatan Kuala Lumpur,2655,212,212,,
,,Klinik Kesihatan Petaling Bahagia,300,266,261,,
,,Klinik Kesihatan Putrajaya Presint 18,120,25,29,,
,,Klinik Kesihatan Putrajaya Presint 9,300,45,46,,
,,Klinik Kesihatan Sungai Besi,400,1574,173,,
,,Klinik Kesihatan Tanglin,200,95,97,,
,,10,4915,2535,1136,1,190
Negeri Sembilan,,Klinik Kesihatan Ampangan,200,18,20,Klinik Kesihatan Bukit Pelandok,30
,,Klinik Kesihatan Bahau,110,63,62,"Klinik Kesihatan Palong 7,8",40
,,Klinik Kesihatan Bandar Seri Jempol,40,5,2,"Klinik Kesihatan Palong 9,10",40
,,Klinik Kesihatan Gemas,60,30,20,Klinik Kesihatan Sendayan,80
,,Klinik Kesihatan Gemencheh,60,20,15,Klinik Kesihatan Simpang Durian,60
,,Klinik Kesihatan Johol,40,40,40,Klinik Kesihatan Tampin,100
,,Klinik Kesihatan Juasseh,40,40,40,Klinik Kesihatan Titi,80
,,Klinik Kesihatan Kuala Pilah,80,80,80,,
,,Klinik Kesihatan Kuarters Klia,60,5,,,
,,Klinik Kesihatan Linggi,30,32,30,,
,,Klinik Kesihatan Lui Muda,40,3,2,,
,,Klinik Kesihatan Lukut,50,28,27,,
,,Klinik Kesihatan Mantin,140,10,,,
,,Klinik Kesihatan Nilai,190,10,11,,
,,"Klinik Kesihatan Palong 4,5,6",40,52,7,,
,,Klinik Kesihatan Pasir Panjang,50,84,21,,
,,Klinik Kesihatan Port Dickson,110,18,18,,
,,Klinik Kesihatan Rantau,60,20,31,,
,,Klinik Kesihatan Rembau,130,247,83,,
,,Klinik Kesihatan Senawang,220,40,34,,
,,Klinik Kesihatan Seremban,260,36,37,,
,,Klinik Kesihatan Seremban 2,120,43,82,,
,,Klinik Kesihatan Serting Hilir,60,14,14,,
,,Klinik Kesihatan Sikamat,140,15,15,,
,,Klinik Kesihatan Tampin,100,144,88,,
,,Klinik Kesihatan Titi,80,6,8,,
,,26,2510,1103,787,7,430
Melaka,,Klinik Desa Bachang,0,48,47,Klinik Kesihatan Alor Gajah,168
,,Klinik Desa Batang Melaka,0,1360,27,Klinik Kesihatan Bachang,50
,,Klinik Kesihatan Ayer Keroh,100,60,29,Klinik Kesihatan Batang Melaka,20
,,Klinik Kesihatan Ayer Molek,100,75,75,Klinik Kesihatan Felda Bukit Senggeh,20
,,Klinik Kesihatan Batu Berendam,100,40,40,Klinik Kesihatan Jalan Gereja,50
,,Klinik Kesihatan Bukit Rambai,50,40,43,Klinik Kesihatan Kemendor,30
,,Klinik Kesihatan Cheng,0,100,97,Klinik Kesihatan Macap Baru,20
,,Klinik Kesihatan Durian Tunggal,64,64,97,Klinik Kesihatan Selandar,50
,,Klinik Kesihatan Gadek,20,12,,Klinik Kesihatan Simpang Ampat,16
,,Klinik Kesihatan Hutan Percha,8,8,21,Klinik Kesihatan Sri Tanjung,100
,,Klinik Kesihatan Jasin,60,20,20,Klinik Kesihatan Tebong,16
,,Klinik Kesihatan Klebang Besar,50,86,50,Klinik Kesihatan Umbai,50
,,Klinik Kesihatan Kuala Sungai Baru,80,72,17,,
,,Klinik Kesihatan Lubok China,48,47,,,
,,Klinik Kesihatan Masjid Tanah,60,60,22,,
,,Klinik Kesihatan Merlimau,50,24,27,,
,,Klinik Kesihatan Nyalas,20,15,4,,
,,Klinik Kesihatan Padang Sebang,36,28,32,,
,,Klinik Kesihatan Pengkalan Balak,12,4,2,,
,,Klinik Kesihatan Peringgit,100,60,61,,
,,Klinik Kesihatan Rembia,52,108,57,,
,,Klinik Kesihatan Simpang Bekoh,50,48,27,,
,,Klinik Kesihatan Sungai Rambai,50,62,52,,
,,Klinik Kesihatan Sungai Udang,50,1167,42,,
,,Klinik Kesihatan Tengkera,100,55,55,,
,,Klinik Kesihatan Ujong Pasir,50,30,25,,
,,Pejabat Kesihatan Daerah Jasin,,15,1,,
,,27,1310,3708,970,12,590
Johor,,Klinik Kesihatan Ayer Hitam,,190,75,Klinik Kesihatan Bandar Tenggara,
,,Klinik Kesihatan Bagan,,342,65,Klinik Kesihatan Mersing Kanan,120
,,Klinik Kesihatan Bakri,,60,59,,
,,Klinik Kesihatan Bandar Putra,,20,17,,
,,Klinik Kesihatan Batu Pahat,1040,150,134,,
,,Klinik Kesihatan Bekok,,1407,64,,
,,Klinik Kesihatan Bukit Gambir,,24,23,,
,,Klinik Kesihatan Bukit Indah,270,56,110,,
,,Klinik Kesihatan Endau,,225,18,,
,,Klinik Kesihatan Ibu Dan Anak Kluang,,100,49,,
,,Klinik Kesihatan Kahang Batu 22,,140,83,,
,,Klinik Kesihatan Kahang Timur,,9770,19,,
,,Klinik Kesihatan Kelapa Sawit,,48,47,,
,,Klinik Kesihatan Kempas,270,130,130,,
,,Klinik Kesihatan Kulai,,50,48,,
,,Klinik Kesihatan Kulai Besar,700,474,325,,
,,Klinik Kesihatan Labis,20,61,59,,
,,Klinik Kesihatan Layang-Layang,,68,55,,
,,Klinik Kesihatan Lenga,,12,12,,
,,Klinik Kesihatan Maharani,250,82,82,,
,,Klinik Kesihatan Mahmoodiah,300,112,112,,
,,Klinik Kesihatan Masai,270,36,35,,
,,Klinik Kesihatan Mengkibol,600,70,50,,
,,Klinik Kesihatan Muar,250,40,40,,
,,Klinik Kesihatan Nitar 1,,96,2,,
,,Klinik Kesihatan Paloh,,76,46,,
,,Klinik Kesihatan Parit Bakar,,9,,,
,,Klinik Kesihatan Parit Sulong,,18,9,,
,,Klinik Kesihatan Payamas,360,48,50,,
,,Klinik Kesihatan Pemanis,,16,2,,
,,Klinik Kesihatan Pontian,452,27,20,,
,,Klinik Kesihatan Renggam,,42,44,,
,,Klinik Kesihatan Rengit,,12,11,,
,,Klinik Kesihatan Segamat,20,80,70,,
,,Klinik Kesihatan Senai,,56,56,,
,,Klinik Kesihatan Senggarang,,115,113,,
,,Klinik Kesihatan Simpang Renggam,,1060,180,,
,,Klinik Kesihatan Sri Gading,,1325,130,,
,,Klinik Kesihatan Sultan Ismail,300,475,458,,
,,Klinik Kesihatan Sungai Mati,,20,20,,
,,Klinik Kesihatan Taman Universiti,270,135,30,,
,,Klinik Kesihatan Tebrau,100,40,40,,
,,Klinik Kesihatan Tongkang Pecah,,32,31,,
,,Klinik Kesihatan Ulu Belitong,,24,12,,
,,Klinik Kesihatan Ulu Tiram,270,32,,,
,,Klinik Kesihatan Yong Peng,,32,9,,
,,46,5742,17437,3044,2,120
Pahang,,Klinik Kesihatan Bandar Jengka,180,80,7,Klinik Kesihatan Bandar Pekan,120
,,Klinik Kesihatan Bandar Jerantut,100,84,62,Klinik Kesihatan Peramu Jaya,120
,,Klinik Kesihatan Bandar Mentakab,900,28,36,Klinik Kesihatan Rompin,100
,,Klinik Kesihatan Bandar Raub,220,8,30,Klinik Kesihatan Tanah Rata,0
,,Klinik Kesihatan Bandar Tun Abdul Razak,100,147,6,,
,,Klinik Kesihatan Benta,180,1117,43,,
,,Klinik Kesihatan Bentong,120,60,60,,
,,Klinik Kesihatan Beserah,358,90,88,,
,,Klinik Kesihatan Indera Mahkota,298,20,18,,
,,Klinik Kesihatan Karak,80,36,36,,
,,Klinik Kesihatan Kurnia,328,152,155,,
,,Klinik Kesihatan Triang,200,432,175,,
,,12,3064,2254,716,4,340
Terengganu,,Klinik Kesihatan Batu 2 1/2,260,82,7,,
,,Klinik Kesihatan Bukit Besi,,42,1,Klinik Kesihatan Batu Rakit,
,,Klinik Kesihatan Ketengah Jaya,,936,,Klinik Kesihatan Marang,240
,,Klinik Kesihatan Kuala Berang,240,108,5,Klinik Kesihatan Rahmat,240
,,Klinik Kesihatan Kuala Dungun,240,164,17,,
,,Klinik Kesihatan Manir,260,48,49,,
,,Klinik Kesihatan Padang Luas,0,80,4,,
,,7,1000,1460,83,3,480
Kelantan,,Klinik Kesihatan Bandar Kota Bharu,160,12,2,Klinik Kesihatan Ayer Lanas,60
,,Klinik Kesihatan Bandar Pasir Mas,116,16,41,Klinik Kesihatan Badang,40
,,Klinik Kesihatan Banggol Pa' Esah,40,21,,Klinik Kesihatan Balai,48
,,Klinik Kesihatan Beris,56,62,21,Klinik Kesihatan Bandar Gua Musang,120
,,Klinik Kesihatan Beris Panchor,56,12,12,Klinik Kesihatan Bandar Kuala Krai,132
,,Klinik Kesihatan Cherang Hangus,32,32,,Klinik Kesihatan Bandar Machang,40
,,Klinik Kesihatan Cherang Ruku,40,40,,Klinik Kesihatan Bandar Tumpat,92
,,Klinik Kesihatan Dabong,40,595,,Klinik Kesihatan Batu 30,40
,,Klinik Kesihatan Gunong,80,100,,Klinik Kesihatan Batu Gajah,72
,,Klinik Kesihatan Jeram,40,3355,4,Klinik Kesihatan Bunohan,44
,,Klinik Kesihatan Kok Lanas,112,18,,Klinik Kesihatan Chekok,40
,,Klinik Kesihatan Kubang Kerian,72,18,17,Klinik Kesihatan Chiku 3,80
,,Klinik Kesihatan Mahligai,60,40,11,Klinik Kesihatan Gual Ipoh,72
,,Klinik Kesihatan Manik Urai,100,112,6,Klinik Kesihatan Gual Periok,32
,,Klinik Kesihatan Tanah Merah,104,1187,,Klinik Kesihatan Jelawat,100
,,,,,,Klinik Kesihatan Jeli,100
,,,,,,Klinik Kesihatan Kangkung,60
,,,,,,Klinik Kesihatan Kasar,24
,,,,,,Klinik Kesihatan Kemahang,72
,,,,,,Klinik Kesihatan Kota Jembal,60
,,,,,,Klinik Kesihatan Kuala Balah,40
,,,,,,Klinik Kesihatan Kuala Betis,40
,,,,,,Klinik Kesihatan Labok,48
,,,,,,Klinik Kesihatan Lundang Paku,40
,,,,,,Klinik Kesihatan Meranti,64
,,,,,,klinik Kesihatan Pahi,48
,,,,,,Klinik Kesihatan Pangkal Kala,32
,,,,,,Klinik Kesihatan Pasir Pekan,68
,,,,,,Klinik Kesihatan Pasir Puteh,80
,,,,,,Klinik Kesihatan Penambang,48
,,,,,,Klinik Kesihatan Pengkalan Chepa,108
,,,,,,Klinik Kesihatan Pengkalan Kubor,60
,,,,,,Klinik Kesihatan Peringat,40
,,,,,,Klinik Kesihatan Perol,40
,,,,,,Klinik Kesihatan Pulai Chondong,40
,,,,,,Klinik Kesihatan Rantau Panjang,64
,,,,,,Klinik Kesihatan Sg Keladi,24
,,,,,,Klinik Kesihatan Sg Pinang,40
,,,,,,Klinik Kesihatan Temangan,32
,,,,,,Klinik Kesihatan Tendong,72
,,,,,,Klinik Kesihatan Tok Uban,40
,,,,,,Klinik Kesihatan Wakaf Bharu,96
,,15,1108,5620,114,42,2492
Sarawak,,Klinik Kesihatan Asajaya,0,30,28,Klinik Kesihatan Bako,0
,,KlinikKesihatan Bandaraya Miri,248,135,133,Klinik Kesihatan Balai Ringin,20
,,Klinik Kesihatan Batu Niah,80,10,11,Klinik Kesihatan Balingian,0
,,Klinik Kesihatan Jalan Lanang,160,40,40,Klinik Kesihatan Batu Danau,60
,,Klinik Kesihatan Jalan Masjid,80,48,48,Klinik Kesihatan Batu Kawa,100
,,Klinik Kesihatan Jalan Merbau,240,38,3,Klinik Kesihatan Beladin,0
,,Klinik Kesihatan Jalan Oya,160,60,40,Klinik Kesihatan Belaga,10
,,Klinik Kesihatan Jepak,36,10,5,Klinik Kesihatan Belawai,0
,,Klinik Kesihatan Julau,0,20,6,Klinik Kesihatan Beluru,0
,,Klinik Kesihatan Kota Samarahan,0,45,41,Klinik Kesihatan Betanak,0
,,Klinik Kesihatan Kota Sentosa,100,86,77,Klinik Kesihatan Bintangor,0
,,Klinik Kesihatan Lawas,80,264,15,Klinik Kesihatan Bintulu,400
,,Klinik Kesihatan Pakan,0,40,4,Klinik Kesihatan Braang Bayur,20
,,Klinik Kesihatan Sadong Jaya,12,12,1,Klinik Kesihatan Daro,0
,,Klinik Kesihatan Samarindah,40,20,20,Klinik Kesihatan Debak,0
,,Klinik Kesihatan Sarikei,80,64,63,Klinik Kesihatan Engkilili,8
,,Klinik Kesihatan Sebuyau,0,40,4,Klinik Kesihatan Gedong,0
,,Klinik Kesihatan Sibu Jaya,160,80,124,Klinik Kesihatan Ibu dan Anak Dalat,0
,,Klinik Kesihatan Siburan,44,8,3,Klinik Kesihatan Kabong,0
,,Klinik Kesihatan Sri Aman,39,9,9,Klinik Kesihatan Kapit,0
,,Klinik Kesihatan Stungkor,20,12,9,Klinik Kesihatan Krokong,0
,,Klinik Kesihatan Tanah Puteh,100,40,39,Klinik Kesihatan Kuala Igan,0
,,Klinik Kesihatan Tudan,240,228,140,Klinik Kesihatan Kuala Oya,0
,,,,,,Klinik Kesihatan Long Lama,40
,,,,,,Klinik Kesihatan Lubok Antu,20
,,,,,,Klinik Kesihatan Machan,40
,,,,,,Klinik Kesihatan Maludam,0
,,,,,,Klinik Kesihatan Marudi,0
,,,,,,Klinik Kesihatan Mid Layar,13
,,,,,,Klinik Kesihatan Munggu Lallang,0
,,,,,,Klinik Kesihatan Nanga Atoi,12
,,,,,,Klinik Kesihatan Nanga Budu,0
,,,,,,Klinik Kesihatan Nanga Mujong,0
,,,,,,Klinik Kesihatan Paloh,0
,,,,,,Klinik Kesihatan Pantu,5
,,,,,,Klinik Kesihatan Petra Jaya,100
,,,,,,Klinik Kesihatan Pusa,0
,,,,,,Klinik Kesihatan Roban,0
,,,,,,Klinik Kesihatan Sampadi,0
,,,,,,Klinik Kesihatan Sebauh,24
,,,,,,Klinik Kesihatan Selangau,60
,,,,,,Klinik Kesihatan Sematan,20
,,,,,,Klinik Kesihatan Serasot,0
,,,,,,Klinik Kesihatan Simpang Bukut,0
,,,,,,Klinik Kesihatan Singai,24
,,,,,,Klinik Kesihatan Siniawan,16
,,,,,,Klinik Kesihatan Song,0
,,,,,,Klinik Kesihatan Sungai Asap,20
,,,,,,Klinik Kesihatan Tanjung Manis,0
,,,,,,Klinik Kesihatan Tatau,32
,,,,,,Klinik Kesihatan Tebakang,24
,,,,,,Klinik Kesihatan Tebedu,10
,,,,,,Klinik Kesihatan Tian,0
,,,,,,Klinik Komuniti Mukah,50
,,23,1919,1339,863,54,1128
Sabah,,Klinik Kesihatan Inanam,0,456,0,Klinik Kesihatan Apas Balong,0
,,Klinik Kesihatan Kundasang,0,4660,3,Klinik Kesihatan Apin-Apin,0
,,Klinik Kesihatan Luyang,0,170,23,Klinik Kesihatan Batu 10,0
,,Klinik Kesihatan Menggatal,0,702,0,Klinik Kesihatan Batu Putih,0
,,Klinik Kesihatan Sindumin,0,152,1,Klinik Kesihatan Bingkor,0
,,Klinik Kesihatan Tawau,0,34,30,Klinik Kesihatan Bongawan,0
,,Klinik Kesihatan Tenghilan,0,48,9,Klinik Kesihatan Bundu Tuhan,0
,,Klinik Kesihatan Weston,0,95,8,Klinik Kesihatan Entilibon,0
,,,,,,Klinik Kesihatan Felda Umas,0
,,,,,,Klinik Kesihatan Jalan Kebajikan,0
,,,,,,Klinik Kesihatan Jawi-Jawi,0
,,,,,,Klinik Kesihatan Kalabakan,0
,,,,,,Klinik Kesihatan Kinabutan,0
,,,,,,Klinik Kesihatan Kinarut,0
,,,,,,Klinik Kesihatan Kota Klias,0
,,,,,,Klinik Kesihatan Kuala Sapi,0
,,,,,,"Klinik Kesihatan Kuala, Papar",0
,,,,,,Klinik Kesihatan Lahad Datu,0
,,,,,,Klinik Kesihatan Langkon,0
,,,,,,Klinik kesihatan Likas,0
,,,,,,Klinik Kesihatan Matunggong,0
,,,,,,Klinik Kesihatan Melalap,0
,,,,,,Klinik Kesihatan Membakut,0
,,,,,,Klinik Kesihatan Menumbok,0
,,,,,,Klinik Kesihatan Merotai,0
,,,,,,Klinik Kesihatan Mesej Pangi,0
,,,,,,Klinik Kesihatan Nabawan,0
,,,,,,Klinik Kesihatan Nangoh Rumedi,0
,,,,,,Klinik Kesihatan Padas Damit,0
,,,,,,Klinik Kesihatan Paginatan,0
,,,,,,Klinik Kesihatan Paitan,0
,,,,,,Klinik Kesihatan Pantai,0
,,,,,,Klinik Kesihatan Patau,0
,,,,,,Klinik Kesihatan Penampang,0
,,,,,,Klinik Kesihatan Putatan,0
,,,,,,Klinik Kesihatan Sandakan,0
,,,,,,Klinik Kesihatan Semporna,0
,,,,,,Klinik Kesihatan Sikuati,0
,,,,,,Klinik Kesihatan Sukau,0
,,,,,,Klinik Kesihatan Sungai Manila,0
,,,,,,Klinik Kesihatan Sungai-Sungai,0
,,,,,,Klinik Kesihatan Sunsuron,0
,,,,,,Klinik Kesihatan Taginambur,0
,,,,,,Klinik Kesihatan Tamparuli,0
,,,,,,Klinik Kesihatan Tandek,0
,,,,,,Klinik Kesihatan Telipok,0
,,,,,,Klinik Kesihatan Telupid,0
,,,,,,Klinik Kesihatan Tinangol,0
,,,,,,Klinik Kesihatan Tungku,0
,,,,,,Klinik Kesihatan Ulu Kimanis,0
,,,,,,Klinik Kesihatan UTC,0
,,,,,,Klinik kesihatan UTC Kota Kinabalu,0
,,,,,,Klinik Komuniti Taman Pengalat Besar,0
,,8,0,6317,74,53,0
WP Labuan,,Klinik Kesihatan Wp Labuan,0,35,31,,
,,Klinik Kesihatan UTC Labuan,0,25,20,,
,,2,0,60,51,0,0
